College Code,College Name,College Type,Choice Code,Course Name,Stage,Category,Number,Percent,Year
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,GOPEN,990,92.7368,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,GSC,1073,92.5789,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,GNTD,1928,91.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,GOBC,1025,92.6842,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,LOPEN,828,93.15,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,LST,15926,80.8421,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,Stage-I,EWS,1153,92.4211,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GOPEN,336,94.9474,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GSC,1537,91.7,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GNTC,2727,89.875,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GOBC,557,93.9474,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,LOPEN,582,93.8421,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,LST,33235,74.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,LOBC,1050,92.6316,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,EWS,772,93.3158,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,GOPEN,656,93.65,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,GST,19792,79.2,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,GOBC,1364,92.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,LOPEN,1241,92.25,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,LSC,7185,85.65,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,LNTD,5200,87.25,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,Stage-I,EWS,2085,90.7778,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,GOPEN,851,93.1053,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,GSC,1785,91.2105,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,GST,5107,87.3158,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,GNTD,6532,86.1111,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,GOBC,852,93.1111,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,LOPEN,323,95.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,LNTA,8476,84.7778,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,Stage-I,EWS,1818,91.1667,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,GOPEN,2256,90.5263,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,GSC,3953,88.4211,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,GST,27000,76.4118,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,GOBC,2608,90.0588,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,LOBC,2011,90.8947,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100237210,Electronics and Telecommunication Engg,Stage-I,EWS,4380,88.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100246610,Instrumentation Engineering,Stage-I,GOPEN,13566,82.0,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100246610,Instrumentation Engineering,Stage-I,GNTC,28190,75.9444,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100246610,Instrumentation Engineering,Stage-I,GOBC,15975,80.8205,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100246610,Instrumentation Engineering,Stage-I,LOPEN,8294,84.8947,2023
1002,"Government College of Engineering, Amravati",Government Autonomous,100246610,Instrumentation Engineering,Stage-I,LOBC,9021,84.45,2023
